10	10
1.881303200980291379e+01	1.652360258485953182e+01	1.007824282488119216e+01	1.039288506176939109e+01	1.351458745240509707e+01	1.457054023656139385e+01	1.434696292311069321e+01	1.565787659574791491e+01	7.414063344869548544e+00	1.052262804642676564e+01
1.652360258485953182e+01	1.665870167888507325e+01	1.031031493784696806e+01	9.271838472013630650e+00	1.365820597710946238e+01	1.447099459377402297e+01	1.248537479909948189e+01	1.428239892023217017e+01	6.184069592926279668e+00	1.197814485140001040e+01
1.007824282488119216e+01	1.031031493784696806e+01	1.204002251104071419e+01	6.777205111773374036e+00	1.124398495418449784e+01	1.239377982151011537e+01	7.576198230896308061e+00	9.085239329690219634e+00	6.383293283660179895e+00	8.920456081726241493e+00
1.039288506176939109e+01	9.271838472013630650e+00	6.777205111773374036e+00	9.950605954457754976e+00	7.789706808692017148e+00	1.085914719441823273e+01	8.866071376265296067e+00	9.658759283873546764e+00	4.336264505156416149e+00	7.687720186556541435e+00
1.351458745240509707e+01	1.365820597710946238e+01	1.124398495418449784e+01	7.789706808692017148e+00	1.649003452295384520e+01	1.436283806057353374e+01	8.640528867774941446e+00	1.116743179015286103e+01	6.268578209221510100e+00	1.187558668943313478e+01
1.457054023656139385e+01	1.447099459377402297e+01	1.239377982151011537e+01	1.085914719441823273e+01	1.436283806057353374e+01	1.911865134602780358e+01	1.134154017041475626e+01	1.548986443818610681e+01	7.632035630405151316e+00	1.427531867169473223e+01
1.434696292311069321e+01	1.248537479909948189e+01	7.576198230896308061e+00	8.866071376265296067e+00	8.640528867774941446e+00	1.134154017041475626e+01	1.278025524597560647e+01	1.328316735238489521e+01	5.881861707961759222e+00	7.568982174639169891e+00
1.565787659574791491e+01	1.428239892023217017e+01	9.085239329690219634e+00	9.658759283873546764e+00	1.116743179015286103e+01	1.548986443818610681e+01	1.328316735238489521e+01	1.640643082788038143e+01	7.625056025011533123e+00	1.196260792587157340e+01
7.414063344869548544e+00	6.184069592926279668e+00	6.383293283660179895e+00	4.336264505156416149e+00	6.268578209221510100e+00	7.632035630405151316e+00	5.881861707961759222e+00	7.625056025011533123e+00	6.574974680373608216e+00	6.435810465143857684e+00
1.052262804642676564e+01	1.197814485140001040e+01	8.920456081726241493e+00	7.687720186556541435e+00	1.187558668943313478e+01	1.427531867169473223e+01	7.568982174639169891e+00	1.196260792587157340e+01	6.435810465143857684e+00	1.478586235935748050e+01
